\#,SVM,Tri-CNN,SSFTT,MASSFormer,MambaHSI,SSMamba,HyPyraMamba,PyS2CF-Mamba
1,95.00,98.33,100.00,100.00,100.00,100.00,100.00,100.00
2,54.94,61.91,87.33,87.20,83.54,79.68,82.85,91.02±3.85
3,58.18,61.34,91.00,92.25,86.85,88.75,93.39,92.66±5.15
4,78.78,89.54,99.09,99.09,97.66,99.22,98.32,98.58±2.37
5,88.01,90.32,93.95,91.49,90.99,92.89,94.22,93.32±1.75
6,91.00,98.77,99.51,98.96,97.32,99.54,98.51,98.99±0.75
7,92.86,100.00,100.00,100.00,98.57,100.00,100.00,100.00
8,92.58,99.50,100.00,100.00,99.89,100.00,100.00,99.91±0.18
9,87.50,100.00,100.00,100.00,100.00,100.00,100.00,100.00
10,63.23,72.94,92.07,89.91,92.60,86.94,90.50,92.08±3.54
11,54.09,62.58,82.54,82.27,83.30,83.56,88.61,92.84±4.50
12,54.05,67.65,88.37,88.37,85.90,89.09,91.28,94.36±2.05
13,95.45,99.82,99.82,99.88,97.52,99.88,99.94,99.64±0.48
14,85.67,93.75,98.89,99.04,97.96,98.25,99.08,99.35±0.41
15,53.96,85.87,99.02,99.74,98.06,99.21,98.87,99.94±0.12
16,96.04,100.00,100.00,100.00,97.74,99.68,99.62,100.00
OA,66.88,75.45,91.13,90.83,89.81,89.60,92.15,94.73±1.40
AA,77.58,86.39,95.72,95.51,94.24,94.79,95.68,97.04±0.59
kappa,62.59,72.19,89.89,89.54,88.37,88.16,91.01,93.95±1.59
