\#,SVM,Tri-CNN,SSFTT,MASSFormer,MambaHSI,SSMamba,HyPyraMamba,PyS2CF-Mamba
1,98.34,100.00,100.00,99.95,99.95,100.00,100.00,99.94±0.07
2,98.71,99.86,99.98,100.00,100.00,98.14,100.00,100.00
3,99.12,99.92,99.94,100.00,99.92,99.98,100.00,100.00
4,99.50,99.38,99.30,99.79,99.92,99.87,99.85,100.00
5,96.28,96.42,97.24,97.42,96.93,98.61,98.60,98.34±0.21
6,99.24,99.84,99.97,99.94,99.90,100.00,99.67,99.91±0.11
7,99.42,99.98,99.96,99.99,99.67,99.99,100.00,99.99±0.01
8,72.47,84.11,92.18,87.33,93.56,78.76,88.91,97.54±1.72
9,97.77,99.97,99.99,100.00,100.00,100.00,100.00,100.00
10,90.45,97.81,99.14,98.95,98.21,98.77,99.44,99.24±0.70
11,97.05,99.92,100.00,100.00,100.00,99.90,99.12,99.73±0.46
12,99.81,97.29,99.71,99.91,99.79,100.00,100.00,99.52±0.80
13,98.30,99.90,99.92,99.75,99.68,99.95,100.00,99.26±0.76
14,94.88,87.80,99.65,99.30,99.87,100.00,98.74,99.66±0.24
15,68.13,86.33,95.15,95.43,94.17,85.54,99.83,98.19±1.45
16,98.07,99.09,99.43,99.75,99.16,99.81,99.21,99.15±0.52
OA,88.35,94.10,97.45,96.49,97.52,93.31,97.45,99.03±0.32
AA,94.22,96.73,98.85,98.59,98.80,97.46,98.96,99.40±0.17
kappa,87.05,93.44,97.16,96.10,97.24,92.57,97.16,98.92±0.36
