model,seed,status,best_epoch,val_oa,val_aa,val_kappa,parameters,training_seconds,validation_inference_seconds,config_changes
m1_hybridsn,0,complete,141,0.5550751343675497,0.6827139451982258,0.5145307084635399,5122305,609.155076711002,3.890062441001646,baseline
m1_hybridsn,1,complete,95,0.6282567755551663,0.6986791831372682,0.5900554729292393,5122305,365.51978185999906,3.103354455990484,baseline
m1_hybridsn,2,complete,100,0.6118214493022152,0.6621940925180536,0.5736146120789383,5122305,397.02331837499514,3.0770659880072344,baseline
m2_ssftt,0,complete,26,0.6351484955032287,0.7182662032356035,0.6001703056128496,153289,195.17925625800854,4.264378547668457,baseline
m2_ssftt,1,complete,60,0.6852506191836185,0.7193076800324111,0.6511285605830186,153289,328.12285121300374,3.9355061054229736,baseline
m2_ssftt,2,complete,40,0.6788250058987101,0.7203833928362788,0.645567025175398,153289,411.3193609559967,5.077785968780518,baseline
m3_gaht,1,complete,159,0.6399760288001807,0.7201048557046529,0.6048391263175331,842385,1077.8105314169952,5.694735050201416,baseline
m3_gaht,0,complete,162,0.6520513759555548,0.7175100307546836,0.6174124159187728,842385,4452.57296962,24.491586685180664,baseline
m3_gaht,2,complete,160,0.6494443632215787,0.7253087479216652,0.6148581245991155,842385,4461.072820308997,24.147008895874023,baseline
m4_mambahsi,0,complete,43,0.7363095643060729,0.7985105975326543,0.7080466477810305,412631,16091.521074185002,54.01701952298754,tile_size=512;tile_overlap=32;amp_dtype=bfloat16
m5_hypersigma_vit_b,0,complete,38,0.6451046496310954,0.7289362815979555,0.612312254129582,183804468,5951.6895009140135,1641.28466796875,validation_fraction=0.05;full_validation_at_end=True;finetune_mode=peft;trainable_parameters=1406452;label_smoothing=0.1;scheduler=cosine;gradient_clip=1.0
m5_hypersigma_dense_max,0,complete,44,0.7720173878050863,0.8532476690972195,0.747738182473071,194240126,3979.839548776974,,official train -> official val
m5_hypersigma_dense_max,0,complete,40,0.7249793488664822,0.6948359959251512,0.6914805481922397,194240126,2733.0284326549736,,train + spatial 90% val -> spatial 10% val
m5_hypersigma_dense_max,0,complete,40,,,,194240126,1820.3001468389994,,train + all val; fixed-epoch final refit
m5_hypersigma_dense_max,0,complete,40,0.7760237061900953,0.6905261770312071,0.7459733816459707,194240126,2767.9344809399918,,train + spatial 90% val -> spatial 10% val
m5_hypersigma_dense_max,0,complete,40,,,,194240126,1820.8161756359623,,train + all val; fixed-epoch final refit
m5_hypersigma_dense_max,0,complete,40,0.79636015576855,0.6751261094798945,0.7688122198585958,194240126,5910.057608898031,,train + spatial 90% val -> spatial 10% val
m5_hypersigma_dense_max,0,complete,40,,,,194240126,3961.668527700007,,train + all val; fixed-epoch final refit
m5_hypersigma_dense_max,0,complete,40,0.6985004741583689,0.6242287564187816,0.6618694936219287,194240126,6797.89136796305,,component-isolated domain fold fold0.npz; validation=168720; buffered labels=223221
m5_hypersigma_dense_max,0,complete,30,0.6696834992887625,0.6055040462245814,0.6296147863546697,194240126,2967.4586879339768,,component-isolated domain fold fold0.npz; validation=168720; buffered labels=223221
m5_hypersigma_dense_max,0,complete,40,0.6998518255097202,0.6267768267503686,0.6635300667434141,194240126,4132.227791156969,,component-isolated domain fold fold0.npz; validation=168720; buffered labels=223221
m5_hypersigma_dense_max,0,complete,30,0.7218134434189912,0.6201635726710739,0.68387272339618,194240126,4717.884899344994,,component-isolated domain fold fold1.npz; validation=134683; buffered labels=257457
m5_hypersigma_dense_max,0,complete,50,0.6358043825556164,0.5338123195809791,0.5915485887514369,194240126,3409.7562676720554,,component-isolated domain fold fold2.npz; validation=125817; buffered labels=262633
m5_hypersigma_dense_max,0,complete,40,0.6831018867924529,0.6268670827138945,0.6479709231982012,194240126,2730.703463247977,,component-isolated domain fold fold3.npz; validation=132500; buffered labels=287981
m5_hypersigma_dense_max,0,complete,50,0.6093301009224763,0.4729170237259752,0.5599097316542962,194240126,3456.3402523290133,,component-isolated domain fold fold4.npz; validation=129109; buffered labels=280565
m5_hypersigma_dense_max,0,complete,30,0.6696953532479848,0.607033399715024,0.629600231745707,194240126,4759.92684230092,,component-isolated domain fold fold0.npz; validation=168720; buffered labels=223221
m5_hypersigma_dense_max,0,complete,30,0.7248130796017315,0.6526620311216951,0.6870094737496454,194240126,8757.905932211084,,component-isolated domain fold fold1.npz; validation=134683; buffered labels=257457
m5_hypersigma_dense_max,0,complete,50,0.6652042251841961,0.5432048453036035,0.6246488749361692,194240126,7702.539210201008,,component-isolated domain fold fold2.npz; validation=125817; buffered labels=262633
m5_hypersigma_dense_max,0,complete,40,0.669977358490566,0.5998328405741573,0.6327280590099829,194240126,8353.221784083056,,component-isolated domain fold fold3.npz; validation=132500; buffered labels=287981
m5_hypersigma_dense_max,0,complete,30,0.6310172025188019,0.477915504022085,0.5843870051398286,194240126,3800.5783411349403,,component-isolated domain fold fold4.npz; validation=129109; buffered labels=280565
